Date,day,geocity,cyplannedimpressions24,lyplannedimpressions,cydeliveredimpressions24,lydeliveredimpressions,deliveredimpressionpercent,lydeliveredimpressionpercent,deliveredimpressionsvsly,cyplannedviews24,lyplannedviews,cydeliveredviews24,lydeliveredviews,deliveredviewspercent,lydeliveredviewspercent,deliveredviewsvsly,plannedctr,lyplannedctr,deliveredctr,lydeliveredctr,deliveredctrpercent,lydeliveredctrpercent,deliveredctrvsly,plannedvtr,lyplannedvtr,deliveredvtr,lydeliveredvtr,deliveredvtrpercent,lydeliveredvtrpercent,deliveredvtrvsly,cyplannedclicks24,lyplannedclicks,cydeliveredclicks24,lydeliveredclicks,deliveredclickspercent,lydeliveredclickspercent,deliveredclicksvsly,cyplannedspends24,lyplannedspends,cydeliveredspends24,lydeliveredspends,deliveredspendspercent,lydeliveredspendspercent,deliveredspendsvsly
2024-07-02,T-18,AP + TG C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,"Ahemdabad, Gandhinagar, Surat, Vadodara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Bharuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Bhopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Bhubaneswar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Chennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Coimbatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Dehra Dun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Delhi NCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Durgapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Gujarat C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Guwahati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Imphal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Indore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Jaipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Kanpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Kochi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Kolkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Lucknow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Madurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Metros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Mumbai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,PAN India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Panjim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Patna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Punjab C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Ranchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Tamil Nadu C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Thiruvananthapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,UP C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Varanasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
