Date,Publisher,Identifiers,Accrual Campaign Name,Device,Line Item Name,Concept Name,Geo,Geo_City,Geo_Target,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,HSM P0_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Hi_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytp0vd20sds2prefhin_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_HI_11VLRO_21082024_20092024_NA_MLT_MLT_NA,HSM P0,,,,,,,,,154148,770,nan,nan,nan,139356,132877,128564,125575,15581.357197
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,HSM P0_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Hi_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytp0vd20sds2ptvsdshin_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_HI_11VLRV_21082024_20092024_NA_MLT_MLT_NA,HSM P0,,,,,,,,,175722,833,nan,nan,nan,158622,151694,147170,144037,18228.449465
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,HSM P0_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Hi_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytp0vd20sds2pwmhin_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_HI_11VLRS_21082024_20092024_NA_MLT_MLT_NA,HSM P0,,,,,,,,,151098,833,nan,nan,nan,136243,129635,125367,122268,15452.328598
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,HSM P1_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Hi_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytp1vd20sds2prefhin_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_HI_11VLRY_21082024_20092024_NA_MLT_MLT_NA,HSM P1,,,,,,,,,209097,1248,nan,nan,nan,188795,179211,172707,168287,20969.597155
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,HSM P1_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Hi_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytp1vd20sds2ptvsdshin_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_HI_11VLS4_21082024_20092024_NA_MLT_MLT_NA,HSM P1,,,,,,,,,236717,1255,nan,nan,nan,213066,202488,195553,190661,24272.404029
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,HSM P1_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Hi_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytp1vd20sds2pwmhin_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_HI_11VLS1_21082024_20092024_NA_MLT_MLT_NA,HSM P1,,,,,,,,,209331,1284,nan,nan,nan,188366,178567,172039,167500,21023.196725
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,Karnataka_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Ka_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytkarvd20sds2prefkan_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_KN_11VLSG_21082024_20092024_NA_MLT_MLT_NA,Karnataka,,,,,,,,,7343,24,nan,nan,nan,6674,6425,6261,6139,693.911672
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,Karnataka_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Ka_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytkarvd20sds2ptvsdskan_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_KN_11VLSM_21082024_20092024_NA_MLT_MLT_NA,Karnataka,,,,,,,,,28998,147,nan,nan,nan,26113,24964,24268,23740,3263.606867
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,Karnataka_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Ka_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytkarvd20sds2pwmkan_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_KN_11VLSJ_21082024_20092024_NA_MLT_MLT_NA,Karnataka,,,,,,,,,24510,124,nan,nan,nan,22142,21101,20458,19990,2759.921376
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,Kerala_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Ma_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytkervd20sds2prefmal_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_ML_11VLT7_21082024_20092024_NA_MLT_MLT_NA,Kerala,,,,,,,,,3700,34,nan,nan,nan,3338,3162,3067,3003,377.404831
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,Kerala_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Ma_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytkervd20sds2ptvsdsmal_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_ML_11VLTD_21082024_20092024_NA_MLT_MLT_NA,Kerala,,,,,,,,,6221,29,nan,nan,nan,5571,5314,5145,5013,644.408477
2024-08-22,Youtube,Amz CC Aug Q3 24,Amz CC Aug Q3 23,,Kerala_Metro_Skept_Enter_Youtube_Deskt_NoIn_ViAd_20/10_Ma_CPM,XCIR24IN008_EDE_AW_APAC_youtube_NEKN_A_PLC_DM_WAP_NA_DIG_VIDP_MID_ROS_cc24ytkervd20sds2pwmmal_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:20_NSKP_4_CPM_SSWT_ML_11VLTA_21082024_20092024_NA_MLT_MLT_NA,Kerala,,,,,,,,,3791,19,nan,nan,nan,3400,3253,3137,3055,383.903027
