Date,Publisher,Identifiers,Accrual Campaign Name,Device,Line Item Name,Concept Name,Geo,Geo_City,Geo_Target,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
02-07-2024,DMP DSP,Phase 1,Amz Prime Day Core 24,,Netwo_25-44_Metro_Displ_DSP_Deskt_Run a_Ba_CPM_MF25|AlAmCl,,Metros,,,,,,,,,597465,23307,nan,nan,0,0,0,0,0,33077.57883
02-07-2024,DMP DSP,Phase 1,Amz Prime Day Core 24,,Netwo_25-44_ROC1_Displ_DSP_Deskt_Run a_Ba_CPM_MF25|AlAmCl,,ROC1,,,,,,,,,376473,9529,nan,nan,0,0,0,0,0,18780.76944
02-07-2024,Google Demand Gen,Phase 1,Amz Prime Day Core 24,,Netwo_25-44_Metro_Displ_Google Demand Gen_Deskt_Run a_Ba_CPC_MF25|Af-ShEn,XCIP24IN006_PPD_CON_APAC_MTK_NEKN_A_PLC_DM_WAP_NA_DIG_DISPP_SBAN_RON_PD24DSPMETD_REC_MLT_NA_NA_NA_NA_NA_1X1_NA_NA_4_CPM_SSWT_EN_11M4RT_07022024_07092024_NA_MLT_MLT_NA,Metros,,,,,,,,,1054855,47751,nan,nan,0,0,0,0,0,11685.7
02-07-2024,Google Demand Gen,Phase 1,Amz Prime Day Core 24,,Netwo_25-44_RO C1_Displ_Google Demand Gen_Deskt_Run a_Ba_CPC_MF25|Af-ShEn,XCIP24IN006_PPD_CON_APAC_MTK_NEKN_A_PLC_DM_WAP_NA_DIG_DISPP_SBAN_RON_PD24DSPMETD_REC_MLT_NA_NA_NA_NA_NA_1X1_NA_NA_4_CPM_SSWT_EN_11M4RT_07022024_07092024_NA_MLT_MLT_NA,ROC1,,,,,,,,,1139068,54093,nan,nan,0,0,0,0,0,12058.68
02-07-2024,Hotstar,Phase 1,Amz Prime Day Core 24,,Enter_25-44_C1 Ge_Video_Hotstar_Deskt_Run a_NoVi10Se_CPM_MF25(Amiprviap,XCIP24IN006_PPD_CON_APAC_MTK_NEKN_A_PLC_DM_WAP_NA_DIG_DISPP_SBAN_RON_PD24DSPMETD_REC_MLT_NA_NA_NA_NA_NA_1X1_NA_NA_4_CPM_SSWT_EN_11M4RT_07022024_07092024_NA_MLT_MLT_NA,C1 Geos,,,,,,,,,70783,2082,nan,nan,0,66600,64001,62538,61530,8493.96
02-07-2024,PMP,Phase 1,Amz Prime Day Core 24,,Enter_25-44_Mumba_Video_PMP_Deskt_Run a_NoVi25Se_CPM_MF25OnShwi20ha,XCIP24IN006_PPD_CON_APAC_MTK_NEKN_A_PLC_DM_WAP_NA_DIG_DISPP_SBAN_RON_PD24DSPROC1D_REC_MLT_NA_NA_NA_NA_NA_1X1_NA_NA_4_CPM_SSWT_EN_11M4RS_07022024_07092024_NA_MLT_MLT_NA,Mumbai,,,,,,,,,72925,324,nan,nan,0,0,0,0,66629,20783.625
02-07-2024,PMP,Phase 1,Amz Prime Day Core 24,,Enter_25-44_Delhi_Video_PMP_Deskt_Run a_NoVi25Se_CPM_MF25OnShwi20ha,XCIP24IN006_PPD_CON_APAC_MTK_NEKN_A_PLC_DM_WAP_NA_DIG_DISPP_SBAN_RON_PD24DSPROC1D_REC_MLT_NA_NA_NA_NA_NA_1X1_NA_NA_4_CPM_SSWT_EN_11M4RS_07022024_07092024_NA_MLT_MLT_NA,Delhi NCR,,,,,,,,,28034,101,nan,nan,0,0,0,0,24570,7989.69
02-07-2024,PMP,Phase 1,Amz Prime Day Core 24,,Enter_25-44_Banga_Video_PMP_Deskt_Run a_NoVi25Se_CPM_MF25OnShwi20ha,XCIP24IN006_PPD_CON_APAC_MTK_NEKN_A_PLC_DM_WAP_NA_DIG_DISPP_SBAN_RON_PD24DSPROC1D_REC_MLT_NA_NA_NA_NA_NA_1X1_NA_NA_4_CPM_SSWT_EN_11M4RS_07022024_07092024_NA_MLT_MLT_NA,Bangalore,,,,,,,,,43561,180,nan,nan,0,0,0,0,39245,12414.885
02-07-2024,PMP,Phase 1,Amz Prime Day Core 24,,Enter_25-44_Chenn_Video_PMP_Deskt_Run a_NoVi25Se_CPM_MF25OnShwi20ha,XCIP24IN006_PPD_CON_APAC_MTK_NEKN_A_PLC_DM_WAP_NA_DIG_DISPP_SBAN_RON_PD24DSPMETD_REC_MLT_NA_NA_NA_NA_NA_1X1_NA_NA_4_CPM_SSWT_EN_11M4RT_07022024_07092024_NA_MLT_MLT_NA_300x600,Chennai,,,,,,,,,17858,95,nan,nan,0,0,0,0,15362,5089.53
02-07-2024,PMP,Phase 1,Amz Prime Day Core 24,,Enter_25-44_Hyder_Video_PMP_Deskt_Run a_NoVi25Se_CPM_MF25OnShwi20ha,XCIP24IN006_PPD_CON_APAC_MTK_NEKN_A_PLC_DM_WAP_NA_DIG_DISPP_SBAN_RON_PD24DSPMETD_REC_MLT_NA_NA_NA_NA_NA_1X1_NA_NA_4_CPM_SSWT_EN_11M4RT_07022024_07092024_NA_MLT_MLT_NA_320x480,Hyderabad,,,,,,,,,19572,90,nan,nan,0,0,0,0,15588,5578.02
