Date,Publisher,Line Item Name,Impressions,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends
2024-09-17,Youtube,"AP + _BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_H&K, _Hingl_18MFBF_CPM (",29400,95,25029.0,0.0,0.0,0.0,0.0,3234.0
2024-09-17,Youtube,AP + _NA_Enter_Youtube_CTV_Non-s_ViAd_10 se_Fashi_Hingl_18MFOnSh_CPM (,96339,9,84115.0,0.0,0.0,0.0,0.0,14354.510999999999
2024-09-17,Youtube,AP + _SDS_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Fashi_Hingl_18MFSD_CPM (,82946,293,70585.0,0.0,0.0,0.0,0.0,9124.06
2024-09-17,Youtube,"AP + _SS_Enter_Youtube_Deskt_Non-s_ViAd_10 se_H&K, _Hingl_18MFSS_CPM (",22718,67,19367.0,0.0,0.0,0.0,0.0,2498.98
2024-09-17,Youtube,AP + _SUF_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Fashi_Hingl_18MFSU_CPM (,24738,81,21009.0,0.0,0.0,0.0,0.0,2721.1800000000003
2024-09-17,Youtube,AP + _VM_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Fashi_Hingl_18MFVM_CPM (,77131,293,65405.0,0.0,0.0,0.0,0.0,8484.41
2024-09-17,Youtube,"HSM_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_H&K, _Hingl_18MFBF_CPM (",138970,526,119037.0,0.0,0.0,0.0,0.0,15286.7
2024-09-17,Youtube,HSM_NA_Enter_Youtube_CTV_Non-s_ViAd_10 se_Fashi_Hingl_18MFOnSh_CPM (,635984,49,582737.0,0.0,0.0,0.0,0.0,94761.61600000001
2024-09-17,Youtube,HSM_SDS_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Fashi_Hingl_18MFSD_CPM (,751205,3024,648696.0,0.0,0.0,0.0,0.0,82632.55
2024-09-17,Youtube,"HSM_SS_Enter_Youtube_Deskt_Non-s_ViAd_10 se_H&K, _Hingl_18MFSS_CPM (",114352,401,98045.0,0.0,0.0,0.0,0.0,12578.720000000001
2024-09-17,Youtube,HSM_SUF_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Fashi_Hingl_18MFSU_CPM (,215243,760,184484.0,0.0,0.0,0.0,0.0,23676.73
2024-09-17,Youtube,HSM_VM_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Fashi_Hingl_18MFVM_CPM (,623096,2468,541729.0,0.0,0.0,0.0,0.0,68540.56
2024-09-17,Youtube,"Karna_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_H&K, _Hingl_18MFBF_CPM (",13299,45,11327.0,0.0,0.0,0.0,0.0,1462.8899999999999
