Genre,Demo,Geo,Medium,Publisher,Platform,Section,Ad Unit,Deal Type,Targeting,Est Imp,CTR,Est Clicks,VTR,Est Video Views,eCPM ,eCPC ,Net Unit Cost,Total Net Cost,% Allocation,Duplication,Reach,Effective Reach,Audience Pool,% Reach,Avg. Freq,Start Date,End Date,Days,Reach T,Freq,Imp F,Budget T,Unnamed: 36,PG possibility,DV CPM,Total_Days,Campaign Name,Phase/inputs
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",435750.0,0.004,1743.0,0.35,152512.5,105.0,26.25,0.3,45753.75,0.031510408458833995,0.8,2324000.0,464799.9999999999,5810000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,2324000.0,1.5,3486000.0,366030.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",435750.0,0.004,1743.0,0.35,152512.5,105.0,26.25,0.3,45753.75,0.031510408458833995,0.8,2324000.0,464799.9999999999,5810000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,2324000.0,1.5,3486000.0,366030.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",435750.0,0.004,1743.0,0.35,152512.5,105.0,26.25,0.3,45753.75,0.031510408458833995,0.8,2324000.0,464799.9999999999,5810000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,2324000.0,1.5,3486000.0,366030.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",435750.0,0.004,1743.0,0.35,152512.5,105.0,26.25,0.3,45753.75,0.031510408458833995,0.8,2324000.0,464799.9999999999,5810000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,2324000.0,1.5,3486000.0,366030.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",435750.0,0.004,1743.0,0.35,152512.5,105.0,26.25,0.3,45753.75,0.031510408458833995,0.8,2324000.0,464799.9999999999,5810000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,2324000.0,1.5,3486000.0,366030.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",435750.0,0.004,1743.0,0.35,152512.5,105.0,26.25,0.3,45753.75,0.031510408458833995,0.8,2324000.0,464799.9999999999,5810000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,2324000.0,1.5,3486000.0,366030.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",435750.0,0.004,1743.0,0.35,152512.5,105.0,26.25,0.3,45753.75,0.031510408458833995,0.8,2324000.0,464799.9999999999,5810000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,2324000.0,1.5,3486000.0,366030.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",435750.0,0.004,1743.0,0.35,152512.5,105.0,26.25,0.3,45753.75,0.031510408458833995,0.8,2324000.0,464799.9999999999,5810000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,2324000.0,1.5,3486000.0,366030.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",581000.0,0.004,2324.0,0.85,493850.0,60.0,15.0,60.0,34860.0,0.02400793025434971,0.9,2324000.0,232399.99999999994,5810000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,2905000.0,2.0,5810000.0,348600.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",581000.0,0.004,2324.0,0.85,493850.0,60.0,15.0,60.0,34860.0,0.02400793025434971,0.9,2324000.0,232399.99999999994,5810000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,2905000.0,2.0,5810000.0,348600.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
