Genre,Demo,Geo,Medium,Publisher,Platform,Section,Ad Unit,Deal Type,Targeting,Est Imp,CTR,Est Clicks,VTR,Est Video Views,eCPM ,eCPC ,Net Unit Cost,Total Net Cost,% Allocation,Duplication,Reach,Effective Reach,Audience Pool,% Reach,Avg. Freq,Start Date,End Date,Days,Reach T,Freq,Imp F,Budget T,Unnamed: 36,PG possibility,DV CPM,Total_Days,Campaign Name,Phase/inputs
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",3486000.0,0.004,13944.0,0.35,1220100.0,105.0,26.25,0.3,366030.0,0.031510408458833995,0.8,2324000.0,464799.9999999999,5810000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,2324000.0,1.5,3486000.0,366030.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",4648000.0,0.004,18592.0,0.85,3950800.0,60.0,15.0,60.0,278880.0,0.02400793025434971,0.9,2324000.0,232399.99999999994,5810000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,2905000.0,2.0,5810000.0,348600.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,1820696.4000000001,0.003,5462.0892,0.85,1547591.9400000002,285.0,95.0,285.0,518898.47400000005,0.04467039003471206,1.0,1213797.6,0.0,3034494.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",4678200.0,0.004,18712.8,0.35,1637370.0,105.0,26.25,0.3,491211.0,0.04228685968219082,0.8,3118800.0,623759.9999999999,7796999.999999999,0.4,1.5,2024-07-02,2024-07-09,8.0,3118800.0,1.5,4678200.0,491211.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",6237600.0,0.004,24950.4,0.85,5301960.0,60.0,15.0,60.0,374256.0,0.03221855975785967,0.9,3118800.0,311879.99999999994,7796999.999999999,0.4,2.0,2024-07-02,2024-07-09,8.0,3898499.9999999995,2.0,7796999.999999999,467819.99999999994,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,2683113.0,0.003,8049.339,0.85,2280646.05,285.0,95.0,285.0,764687.205,0.06582959367481934,1.0,1788742.0,0.0,4471855.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Bangalore,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",2430000.0,0.004,9720.0,0.35,850500.0,105.0,26.25,0.3,255150.0,0.021965086791441945,0.8,1620000.0,323999.99999999994,4050000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,1620000.0,1.5,2430000.0,255150.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Bangalore,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",3240000.0,0.004,12960.0,0.85,2754000.0,60.0,15.0,60.0,194400.0,0.016735304222051006,0.9,1620000.0,161999.99999999997,4050000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,2025000.0,2.0,4050000.0,243000.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Bangalore,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,1181855.4206708174,0.003,3545.566262012452,0.85,1004577.1075701948,285.0,95.0,285.0,336828.794891183,0.028996565603141802,1.0,787903.613780545,0.0,1969759.0344513622,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Chennai,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",888000.0,0.004,3552.0,0.35,310800.0,105.0,26.25,0.3,93240.0,0.0080267477657615,0.8,592000.0,118399.99999999997,1480000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,592000.0,1.5,888000.0,93240.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
