Geo,Cohort,Genre,Publisher_x,Devices,Section,Ad Unit,Ad Size,Creatives,Language,Targeting,Deal Type,DV,DCM,#Days,Est Imp,CTR%,VTR,Est Video Views,Est Clicks,Reach,Avg Freq,Net Rate,DMP Data Cost,Total Net Cost,eCPM,eCPC,Start Date,End Date,Line_Item,Total_Days,Campaign Name,Phase/inputs,Number_of_Days,Date,Publisher_y,Line Item Name,Impressions,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends
Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),N,Y,1.0,1459349.8357214767,0.0041,0.75,1094512.3767911077,5983.334326458054,3283537.1303733224,4.0,110,,160528.48192936243,110.0,26.82926829268293,2024-09-18,2024-09-26,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,9,J'24 Digital Media Plan_Phase-1,DADR Plan,1,2024-09-18,Youtube,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,70024.0,221.0,0.0,64332.0,62454.0,61174.0,60321.0,7702.64
Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),N,Y,1.0,1459349.8357214767,0.0041,0.75,1094512.3767911077,5983.334326458054,3283537.1303733224,4.0,110,,160528.48192936243,110.0,26.82926829268293,2024-09-18,2024-09-26,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,9,J'24 Digital Media Plan_Phase-1,DADR Plan,2,2024-09-19,Youtube,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,65529.0,190.0,0.0,61846.0,60323.0,59105.0,58262.0,7208.1900000000005
Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),N,Y,1.0,1459349.8357214767,0.0041,0.75,1094512.3767911077,5983.334326458054,3283537.1303733224,4.0,110,,160528.48192936243,110.0,26.82926829268293,2024-09-18,2024-09-26,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,9,J'24 Digital Media Plan_Phase-1,DADR Plan,3,2024-09-20,Youtube,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,71671.0,215.0,0.0,67947.0,66044.0,64753.0,63746.0,7883.81
Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),N,Y,1.0,1459349.8357214767,0.0041,0.75,1094512.3767911077,5983.334326458054,3283537.1303733224,4.0,110,,160528.48192936243,110.0,26.82926829268293,2024-09-18,2024-09-26,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,9,J'24 Digital Media Plan_Phase-1,DADR Plan,4,2024-09-21,Youtube,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,104476.0,211.0,0.0,100795.0,98904.0,97487.0,96313.0,11492.36
Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),N,Y,1.0,1459349.8357214767,0.0041,0.75,1094512.3767911077,5983.334326458054,3283537.1303733224,4.0,110,,160528.48192936243,110.0,26.82926829268293,2024-09-18,2024-09-26,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,9,J'24 Digital Media Plan_Phase-1,DADR Plan,5,2024-09-22,Youtube,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,388788.0,824.0,0.0,372235.0,365576.0,360642.0,356729.0,42766.68
Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),N,Y,1.0,1459349.8357214767,0.0041,0.75,1094512.3767911077,5983.334326458054,3283537.1303733224,4.0,110,,160528.48192936243,110.0,26.82926829268293,2024-09-18,2024-09-26,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,9,J'24 Digital Media Plan_Phase-1,DADR Plan,6,2024-09-23,Youtube,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,683337.0,1735.0,0.0,654913.0,641727.0,632318.0,624741.0,75167.07
Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),N,Y,1.0,1459349.8357214767,0.0041,0.75,1094512.3767911077,5983.334326458054,3283537.1303733224,4.0,110,,160528.48192936243,110.0,26.82926829268293,2024-09-18,2024-09-26,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,9,J'24 Digital Media Plan_Phase-1,DADR Plan,7,2024-09-24,Youtube,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,3992875.0,31541.0,0.0,3749715.0,3618082.0,3525317.0,3452750.0,439216.25
Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),N,Y,1.0,1459349.8357214767,0.0041,0.75,1094512.3767911077,5983.334326458054,3283537.1303733224,4.0,110,,160528.48192936243,110.0,26.82926829268293,2024-09-18,2024-09-26,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,9,J'24 Digital Media Plan_Phase-1,DADR Plan,8,2024-09-25,Youtube,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,3646261.0,19309.0,0.0,3475214.0,3384650.0,3317147.0,3263215.0,401088.70999999996
Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),N,Y,1.0,1459349.8357214767,0.0041,0.75,1094512.3767911077,5983.334326458054,3283537.1303733224,4.0,110,,160528.48192936243,110.0,26.82926829268293,2024-09-18,2024-09-26,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,9,J'24 Digital Media Plan_Phase-1,DADR Plan,9,2024-09-26,Youtube,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,4783515.0,35070.0,0.0,4507210.0,4359669.0,4254892.0,4172982.0,526186.65
Metros,BFP,Entertainment,Youtube,Desktop+Mobile,All Placements,Video Ad,6 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),N,Y,1.0,5298704.253859399,0.0043,0.91,4821820.871012053,22784.428291595417,2649352.1269296994,10.0,45,,238441.69142367292,45.0,10.465116279069766,2024-09-22,2024-09-26,Metro_BFP_Enter_Youtube_Deskt_All P_ViAd_6 sec_Refer_Hingl_18MFBF_CPM (,5,J'24 Digital Media Plan_Phase-1,DADR Plan,1,2024-09-22,Youtube,Metro_BFP_Enter_Youtube_Deskt_All P_ViAd_6 sec_Refer_Hingl_18MFBF_CPM (,680784.0,3067.0,0.0,665014.0,648309.0,636802.0,627864.0,30635.280000000002
