Campaign Name,Line_Item,Date,Phase/inputs,Geo,Cohort,Genre,Publisher,Devices,Section,Ad Unit,Ad Size,Creatives,Language,Targeting,Deal Type,Planned Impressions,Delivered Impressions,Planned Clicks,Delivered Clicks,Planned Video Views,Delivered Video Views (True Views),25% Views,50% Views,75% Views,100% Views,Planned Spends,Delievered Spends
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,2024-09-18,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),1459349.8357214767,70024.0,5983.334326458054,221.0,1094512.3767911077,0.0,64332.0,62454.0,61174.0,60321.0,160528.48192936243,7702.64
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,2024-09-19,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),1459349.8357214767,65529.0,5983.334326458054,190.0,1094512.3767911077,0.0,61846.0,60323.0,59105.0,58262.0,160528.48192936243,7208.1900000000005
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,2024-09-20,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),1459349.8357214767,71671.0,5983.334326458054,215.0,1094512.3767911077,0.0,67947.0,66044.0,64753.0,63746.0,160528.48192936243,7883.81
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,2024-09-21,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),1459349.8357214767,104476.0,5983.334326458054,211.0,1094512.3767911077,0.0,100795.0,98904.0,97487.0,96313.0,160528.48192936243,11492.36
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,2024-09-22,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),1459349.8357214767,388788.0,5983.334326458054,824.0,1094512.3767911077,0.0,372235.0,365576.0,360642.0,356729.0,160528.48192936243,42766.68
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,2024-09-23,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),1459349.8357214767,683337.0,5983.334326458054,1735.0,1094512.3767911077,0.0,654913.0,641727.0,632318.0,624741.0,160528.48192936243,75167.07
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,2024-09-24,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),1459349.8357214767,3992875.0,5983.334326458054,31541.0,1094512.3767911077,0.0,3749715.0,3618082.0,3525317.0,3452750.0,160528.48192936243,439216.25
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,2024-09-25,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),1459349.8357214767,3646261.0,5983.334326458054,19309.0,1094512.3767911077,0.0,3475214.0,3384650.0,3317147.0,3263215.0,160528.48192936243,401088.70999999996
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_Non-s_ViAd_10 se_Refer_Hingl_18MFBF_CPM (,2024-09-26,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,Non-skip Instream,Video Ad,10 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),1459349.8357214767,4783515.0,5983.334326458054,35070.0,1094512.3767911077,0.0,4507210.0,4359669.0,4254892.0,4172982.0,160528.48192936243,526186.65
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_All P_ViAd_6 sec_Refer_Hingl_18MFBF_CPM (,2024-09-22,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,All Placements,Video Ad,6 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),5298704.253859399,680784.0,22784.428291595417,3067.0,4821820.871012053,0.0,665014.0,648309.0,636802.0,627864.0,238441.69142367292,30635.280000000002
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_All P_ViAd_6 sec_Refer_Hingl_18MFBF_CPM (,2024-09-23,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,All Placements,Video Ad,6 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),5298704.253859399,164898.0,22784.428291595417,736.0,4821820.871012053,0.0,161010.0,156786.0,153800.0,151525.0,238441.69142367292,7420.41
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_All P_ViAd_6 sec_Refer_Hingl_18MFBF_CPM (,2024-09-24,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,All Placements,Video Ad,6 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),5298704.253859399,9590334.0,22784.428291595417,48133.0,4821820.871012053,0.0,9340484.0,9095973.0,8934633.0,8811403.0,238441.69142367292,431565.03
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_All P_ViAd_6 sec_Refer_Hingl_18MFBF_CPM (,2024-09-25,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,All Placements,Video Ad,6 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),5298704.253859399,7563206.0,22784.428291595417,33151.0,4821820.871012053,0.0,7390482.0,7199263.0,7072926.0,6976692.0,238441.69142367292,340344.27
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_Youtube_Deskt_All P_ViAd_6 sec_Refer_Hingl_18MFBF_CPM (,2024-09-26,DADR Plan,Metros,BFP,Entertainment,Youtube,Desktop+Mobile,All Placements,Video Ad,6 sec,Refer to Sting Details,Hinglish,"18-44 MF, BFP",CPM (Target freq),5298704.253859399,7452170.0,22784.428291595417,41796.0,4821820.871012053,0.0,7229719.0,7006213.0,6864177.0,6758663.0,238441.69142367292,335347.64999999997
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_PMP OTT (Rest)_Deskt_Midro_ViAd_10 se_Refer_Hingl_BuFaPe(B_CPM,2024-09-18,DADR Plan,Metros,BFP,Entertainment,PMP OTT (Rest),Desktop+Mobile,Midroll (non-skip),Video Ad,10 sec,Refer to Sting Details,Hinglish,Busy Family Person (BFP),CPM,113841.0,188336.0,1366.092,483.0,96764.85,0.0,0.0,0.0,0.0,165665.0,10245.69,16950.239999999998
J'24 Digital Media Plan_Phase-1,Metro_BFP_Enter_PMP OTT (Rest)_Deskt_Midro_ViAd_10 se_Refer_Hingl_BuFaPe(B_CPM,2024-09-19,DADR Plan,Metros,BFP,Entertainment,PMP OTT (Rest),Desktop+Mobile,Midroll (non-skip),Video Ad,10 sec,Refer to Sting Details,Hinglish,Busy Family Person (BFP),CPM,113841.0,51715.0,1366.092,183.0,96764.85,0.0,0.0,0.0,0.0,43413.0,10245.69,4654.35
J'24 Digital Media Plan_Phase-1,Metro_BFP_Netwo_DSP (Acxiom)_Deskt_RON_Di_-_OPS -_Engli_18MFBF_CPM,2024-09-18,DADR Plan,Metros,BFP,Network,DSP (Acxiom),Desktop+Mobile,RON,Display,-,"OPS - WL(higher skew), CEPC, LA,TV, OHL, SL",English,"18-44 MF, BFP",CPM,1075224.0774877027,104305.0,16128.36116231554,122.0,0.0,0.0,0.0,0.0,0.0,0.0,112898.52813620878,10952.025
