Date,day,geocity,cyplannedimpressions24,lyplannedimpressions,cydeliveredimpressions24,lydeliveredimpressions,deliveredimpressionpercent,lydeliveredimpressionpercent,deliveredimpressionsvsly,cyplannedviews24,lyplannedviews,cydeliveredviews24,lydeliveredviews,deliveredviewspercent,lydeliveredviewspercent,deliveredviewsvsly,plannedctr,lyplannedctr,deliveredctr,lydeliveredctr,deliveredctrpercent,lydeliveredctrpercent,deliveredctrvsly,plannedvtr,lyplannedvtr,deliveredvtr,lydeliveredvtr,deliveredvtrpercent,lydeliveredvtrpercent,deliveredvtrvsly,cyplannedclicks24,lyplannedclicks,cydeliveredclicks24,lydeliveredclicks,deliveredclickspercent,lydeliveredclickspercent,deliveredclicksvsly,cyplannedspends24,lyplannedspends,cydeliveredspends24,lydeliveredspends,deliveredspendspercent,lydeliveredspendspercent,deliveredspendsvsly
2024-07-02,T-18,AP + TG C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,"Ahemdabad, Gandhinagar, Surat, Vadodara",155215.95,,608609.0,,3.9210468799488836,,,98672.99,,453756.0,,4.59858347326467,,,0.003999999999999998,,0.005305540995943208,,1.3263852489858026,,,0.6357142857142851,,0.745562421850482,,1.1727948208883998,,,620.8599999999999,,3229.0,,5.200818742146004,,,12306.41,,30787.059999999998,,2.5017097712134824,,
2024-07-02,T-18,Bangalore,313046.39,,889823.0,,2.842463740736373,,,205339.43,,698329.0,,3.4008519837544213,,,0.0039056165894776384,,0.0041794828859222566,,1.0701211422499737,,,0.6559393022547916,,0.784795403130735,,1.1964451595338175,,,1222.6399999999999,,3719.0,,3.04178054504094,,,35034.71,,68650.17,,1.9594897522055088,,
2024-07-02,T-18,Bharuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Bhopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Bhubaneswar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Chennai,129147.9,,304426.0,,2.357189019611973,,,87575.70999999999,,249254.0,,2.8461544629827626,,,0.0038021810963314575,,0.004657946430331181,,1.2250722183710319,,,0.6781040507861161,,0.8187671223877067,,1.2074358226271056,,,491.03999999999996,,1418.0,,2.887726781375877,,,19071.86,,19001.129999999997,,0.9962918709999917,,
2024-07-02,T-18,Coimbatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Dehra Dun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Delhi,612867.8300000001,,1780790.0,,2.9056673027336686,,,403982.65,,1354277.0,,3.352314748689347,,,0.003890550911201775,,0.004751262080312671,,1.2212311800451483,,,0.6591676618853339,,0.7604922534380808,,1.1537159624350213,,,2384.39,,8461.0,,3.548491508936041,,,71781.43,,114156.79000000001,,1.590338831543651,,
2024-07-02,T-18,Durgapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Gujarat C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Guwahati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Hyderabad,263465.87,,636891.0,,2.417356752887955,,,177295.99,,490672.0,,2.7675301702185435,,,0.003826292984362643,,0.004696251006844185,,1.2273631491464196,,,0.6729372176365765,,0.7704175439753427,,1.1448579804831227,,,1008.1,,2991.0,,2.9669745968349233,,,36710.990000000005,,44224.05,,1.2046541121580456,,
2024-07-02,T-18,Imphal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Indore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Jaipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Kanpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Kochi,21247.03,,77018.0,,3.6248842955551934,,,13507.029999999999,,58673.0,,4.343884163987258,,,0.003999999999999999,,0.0050637513308577214,,1.2659378327144306,,,0.6357142857142857,,0.7618089277831156,,1.1983511223554628,,,84.98,,390.0,,4.588878168955717,,,1684.5900000000001,,4219.280000000001,,2.504637587695578,,
2024-07-02,T-18,Kolkata,111114.77,,280218.0,,2.521879068006849,,,75547.55,,221536.0,,2.9324048134836773,,,0.003793773896745405,,0.0042502622957839966,,1.1203256734488585,,,0.6799055935545559,,0.7905844735170474,,1.1627856587910401,,,421.53999999999996,,1191.0,,2.8253258652213527,,,16731.78,,18019.0,,1.0769331345528708,,
2024-07-02,T-18,Lucknow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Madurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Maharashtra C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Metros,1278700.0,,4395547.0,,3.4375146633299445,,,330225.0,,1841056.0,,5.575156332803392,,,0.011076874951122233,,0.013617181012615031,,1.229334182492999,,,0.2582505669820912,,0.41884542321211227,,1.6218567421041046,,,14164.0,,78796.0,,4.225854278452415,,,128903.5,,232165.11,,1.8010776520837788,,
2024-07-02,T-18,Mumbai,452217.41000000003,,1057562.0,,2.3224183252918102,,,297234.8,,875438.0,,2.9248728762154,,,0.0038993461795290008,,0.0042952168936945725,,1.1015223311651157,,,0.6572829615294997,,0.8277876062378242,,1.2594082833237599,,,1763.35,,4546.0,,2.558195647616018,,,51590.4,,80438.86,,1.5187227815260609,,
2024-07-02,T-18,PAN India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Panjim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Patna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Pune,148955.64,,477005.0,,3.2514983404286784,,,98112.29000000001,,362384.0,,3.755370514120531,,,0.0038928833071672645,,0.004845879557077937,,1.244804730765007,,,0.6586678627498718,,0.7607390843827233,,1.1549661481990552,,,579.87,,2312.0,,4.047480516240188,,,17326.14,,26418.91,,1.6452737285564227,,
